;;;;;1382,130952;;;37;44;44;37;34;35;33;38;42;32;;;0,854545455
CeBe PP;Nombre;Tipologia;Nombre del día;Hora;Trx;TRX/hora/prom;;Promotor 1;Promotor 2;Promotor 3;Promotor 4;Promotor 5;Promotor 6;Promotor 7;Promotor 8;Promotor 9;Promotor 10;trxdelta;;No Promotores por hora
1825PP023;La Casona;Motera;sábado;0,291666667;84,39256324;33,125;;;X;X;X;;;;;;;14,60743676;;3
1825PP023;La Casona;Motera;sábado;0,333333333;77,13298791;33,125;;;;X;X;X;;;;;;21,86701209;;3
1825PP023;La Casona;Motera;sábado;0,375;75,77181754;33,125;;;;X;X;X;;;;;;23,22818246;;3
1825PP023;La Casona;Motera;sábado;0,416666667;83,03139287;33,125;;;;X;X;X;;;;;;15,96860713;;3
1825PP023;La Casona;Motera;sábado;0,458333333;84,8462867;33,125;;;;X;X;X;;;;;;14,1537133;;3
1825PP023;La Casona;Motera;sábado;0,5;88,02235091;33,125;;;;X;X;X;;;;;;10,97764909;;3
1825PP023;La Casona;Motera;sábado;0,541666667;83,93883978;33,125;;;;X;X;X;;;;;;15,06116022;;3
1825PP023;La Casona;Motera;sábado;0,583333333;80,76277558;33,125;;;;;X;X;;;;X;;18,23722442;;3
1825PP023;La Casona;Motera;sábado;0,625;98,45799045;33,125;;;;;X;X;;;;X;;0,54200955;;3
1825PP023;La Casona;Motera;sábado;0,666666667;95,28192624;33,125;;;;;;X;X;;;X;;3,718073758;;3
1825PP023;La Casona;Motera;sábado;0,708333333;85,07314843;33,125;;;;;;;X;X;;X;;13,92685157;;3
1825PP023;La Casona;Motera;sábado;0,75;115,6994819;33,125;;;;;;;X;X;X;X;;16,30051813;;4
1825PP023;La Casona;Motera;sábado;0,791666667;112,0696942;33,125;;;;;;;X;X;X;X;;19,9303058;;4
1825PP023;La Casona;Motera;sábado;0,833333333;122,9590572;33,125;;;;;;;X;X;X;X;;9,040942802;;4
1825PP023;La Casona;Motera;sábado;0,875;28,13085441;33,125;;;;;;;;;X;;;4,869145586;;1
1825PP023;La Casona;Motera;sábado;0,916666667;22,68617291;33,125;;;;;;;;;X;;;10,31382709;;1
1825PP023;La Casona;Motera;sábado;0,958333333;15,88032104;33,125;;;;;;;;;X;;;17,11967896;;1
